dataset,pair_id,cluster,isolated_fact_preference,frozen_k3_residual,spearman,spearman_ci_low,spearman_ci_high,source_id,source_path,source_sha256,json_path
2Wiki,validationpair-0016fbdec6bd8f1ccffb6dd0,father -> place of death,2.6171873807907104,-0.1015629768371582,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-0017937e77c1be3dcae75434,father -> place of birth,2.523437738418579,2.0390626192092896,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-00180ec658dc0c0e50e85d40,director -> country of citizenship,2.6249998807907104,2.062500238418579,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-002abc34f868c61232512528,father -> place of death,-0.42010581493377686,0.7814202904701233,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-002b76a69e4ae991c0f70042,director -> country of citizenship,2.453125,1.3671875,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-002fb1f3a775a15015b9701c,spouse -> country of citizenship,0.5781248807907104,0.5546873807907104,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-00329ce87732ee5a2f611221,father -> place of birth,0.6542398929595947,0.7379753589630127,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-0036fafd524650f71fc2e7f1,director -> country of citizenship,5.0253907442092896,1.5859375,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-003b8e5025f72ae25a373699,father -> country of citizenship,4.010858774185181,1.047993779182434,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-003e901771cd1287309232c7,director -> place of death,0.8281248807907104,0.623046875,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-0043ce9db521f43e7d3a3a35,performer -> place of death,0.962457537651062,-0.05520153045654297,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-0049b92ec1fa7cdcbd4ca98e,father -> place of birth,4.4296875,2.0781251192092896,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-004d9190e29d6148c589151e,performer -> place of death,1.046875,0.9531247615814209,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-005cad7f71a7057c9fefbfd4,spouse -> place of birth,2.0312501192092896,1.3359375,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-0061e52f767e8966676966c3,director -> place of death,0.4921877384185791,0.4062502384185791,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-00643eb8161a6a739449ada7,director -> spouse,0.7193026542663574,0.30387914180755615,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-0065e02227392ebcd582fc05,spouse -> place of death,1.3528021574020386,3.352009892463684,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-0066421540023838af006d7c,mother -> place of birth,0.6796875,0.63671875,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-00686789913d7b402c5e0cef,director -> place of death,1.3414782285690308,0.8381404876708984,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-0069184fd6ff919310d3e3fb,father -> country of citizenship,0.7109375,1.328125,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-00792a051f07fe35d713ea17,director -> spouse,-0.15174973011016846,1.1649690866470337,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-007c5fc36b90b87240f13d1c,performer -> place of birth,1.2822316884994507,-0.025656938552856445,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-007e52b0d9ba06b249e31593,director -> award received,0.9257141351699829,0.6479651927947998,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
