metric,interface,estimate,ci_low,ci_high,retention,source_id,source_path,source_sha256,json_path
D3,LIST,0.702573885600413,0.5394737563786968,0.872096582574229,1.0,candidate_list_ablation,reports/discovery/ouro26_2wiki_candidate_list_ablation_v1_20260906T034900Z/model-merged.json,41b21e5c777522b4f413ddf7af1e70f1821deda29ab884118c8ac208632ef796,summary.likelihood.LIST.metrics.D3_nats
D3,NO_LIST,0.6217325839304155,0.4486434055672538,0.8134790588771142,0.8849355159266825,candidate_list_ablation,reports/discovery/ouro26_2wiki_candidate_list_ablation_v1_20260906T034900Z/model-merged.json,41b21e5c777522b4f413ddf7af1e70f1821deda29ab884118c8ac208632ef796,summary.likelihood.NO_LIST.metrics.D3_nats
G31,LIST,0.7010785434995929,0.5377601569218021,0.874294406013383,1.0,candidate_list_ablation,reports/discovery/ouro26_2wiki_candidate_list_ablation_v1_20260906T034900Z/model-merged.json,41b21e5c777522b4f413ddf7af1e70f1821deda29ab884118c8ac208632ef796,summary.likelihood.LIST.metrics.G31_nats
G31,NO_LIST,0.6319674320759312,0.44695722165126955,0.8289012655375465,0.9014217279013021,candidate_list_ablation,reports/discovery/ouro26_2wiki_candidate_list_ablation_v1_20260906T034900Z/model-merged.json,41b21e5c777522b4f413ddf7af1e70f1821deda29ab884118c8ac208632ef796,summary.likelihood.NO_LIST.metrics.G31_nats
