dataset,estimate,ci_low,ci_high,evidence_status,source_id,source_path,source_sha256,json_path
2Wiki,-0.0013458574971845073,-0.061060622238343756,0.05819730515922266,registered,fact_only_intervention,reports/discovery/ouro26_fact_only_instruction_intervention_v1_20260906/result.json,3a9fa5de5bb0ec9bc54b09e3256e74c04dafb43a451db357dc2f5f2bf904ec19,datasets.2wiki.metrics.theta
MuSiQue,-0.004790161785326506,-0.057892840410533705,0.049665623871903646,registered,fact_only_intervention,reports/discovery/ouro26_fact_only_instruction_intervention_v1_20260906/result.json,3a9fa5de5bb0ec9bc54b09e3256e74c04dafb43a451db357dc2f5f2bf904ec19,datasets.musique.metrics.theta
Combined,-0.003068009641255507,-0.0433705994438108,0.03655687681160526,supportive,fact_only_intervention,reports/discovery/ouro26_fact_only_instruction_intervention_v1_20260906/result.json,3a9fa5de5bb0ec9bc54b09e3256e74c04dafb43a451db357dc2f5f2bf904ec19,cross_dataset.supportive_mean_theta_nats
