model,dataset,deep_exit,cluster,metric,value,source_id,source_path,source_sha256,json_path
Ouro-2.6B,2Wiki,3,director -> father,specificity gain,3.077022135257721,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> father.A31
Ouro-2.6B,2Wiki,3,director -> place of birth,deep specificity,7.2666657119989395,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> place of birth.C3
Ouro-2.6B,2Wiki,3,director -> place of birth,specificity gain,7.2640212923288345,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> place of birth.A31
Ouro-2.6B,2Wiki,3,director -> place of death,deep specificity,5.459525972604752,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> place of death.C3
Ouro-2.6B,2Wiki,3,director -> place of death,specificity gain,5.448296099901199,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> place of death.A31
Ouro-2.6B,2Wiki,3,director -> spouse,deep specificity,4.851086318492889,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> spouse.C3
Ouro-2.6B,2Wiki,3,director -> spouse,specificity gain,4.848870635032654,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> spouse.A31
Ouro-2.6B,2Wiki,3,father -> cause of death,deep specificity,3.2389716506004333,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.father -> cause of death.C3
Ouro-2.6B,2Wiki,3,father -> cause of death,specificity gain,3.233041226863861,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.father -> cause of death.A31
Ouro-2.6B,2Wiki,3,father -> country of citizenship,deep specificity,2.27075657248497,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.father -> country of citizenship.C3
Ouro-2.6B,2Wiki,3,father -> country of citizenship,specificity gain,2.2725776731967926,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.father -> country of citizenship.A31
Ouro-2.6B,2Wiki,3,father -> educated at,deep specificity,2.83672371506691,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.father -> educated at.C3
Ouro-2.6B,2Wiki,3,father -> educated at,specificity gain,2.7375243604183197,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.father -> educated at.A31
Ouro-2.6B,2Wiki,3,father -> place of birth,deep specificity,4.143888413906097,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.father -> place of birth.C3
Ouro-2.6B,2Wiki,3,father -> place of birth,specificity gain,4.1399553418159485,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.father -> place of birth.A31
Ouro-2.6B,2Wiki,3,father -> place of burial,deep specificity,2.992630898952484,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.father -> place of burial.C3
Ouro-2.6B,2Wiki,3,father -> place of burial,specificity gain,2.9930459856987,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.father -> place of burial.A31
Ouro-2.6B,2Wiki,3,father -> place of death,deep specificity,3.7929751873016357,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.father -> place of death.C3
Ouro-2.6B,2Wiki,3,father -> place of death,specificity gain,3.7201093435287476,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.father -> place of death.A31
Ouro-2.6B,2Wiki,3,founded by -> place of birth,deep specificity,5.8061094880104065,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.founded by -> place of birth.C3
Ouro-2.6B,2Wiki,3,founded by -> place of birth,specificity gain,5.800810098648071,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.founded by -> place of birth.A31
Ouro-2.6B,2Wiki,3,mother -> country of citizenship,deep specificity,4.2177734375,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.mother -> country of citizenship.C3
Ouro-2.6B,2Wiki,3,mother -> country of citizenship,specificity gain,4.206165313720703,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.mother -> country of citizenship.A31
Ouro-2.6B,2Wiki,3,mother -> place of birth,deep specificity,3.0556342601776123,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.mother -> place of birth.C3
Ouro-2.6B,2Wiki,3,mother -> place of birth,specificity gain,3.074530065059662,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.mother -> place of birth.A31
